entry	  دەم	زارک	دەرگانە	دەروو	ناڤدەر	درگا	دەرک	رێڕەو	پێشەکی	دەسپێک	لێما	لێمە	سەرواژە	سەروشە
approximate	  نزیک هاتن یان کردن	بە شێوەی تەخمینی حیسابکراو	هاوتا											
chat	  دەمەتەقێ	دوانەوە	هاوپەیڤین											
category	  کەتێگۆری	بەستێن	هاوپۆلەکان											
recall	  بیرهاتنەوە	بیرکەوتنەوە	هاتنەوەبیر											
frigidity	  بێ وازی	سستی	هاتنە خواری مەیلی سیکسی											
enmity	  دوژمنایەتی	ناکۆکی	نەیارێتی											
enemy	  دووژمن	نەتەوی	نەیار											
shame	  شوورەیی	شەرمەزاری	نەنگی											
ladder	  پەیژه	پاچینه	نەرده											
poverty	  هەژاری	دەستکورتی	نەداری											
nurse	  پەرە‌ستار	سستەر	نەخۆشوان											
strategy	  ستراتیژی	پلان	نەخشەی بەدەست هێنانی ئامانجێک											
purpose	  مەبەست	وابەتەمابوون	نیازوابوون											
article	  وتار	بەندی یاسا	نوسراو											
model	  مۆدێل	گەڵاڵە	نموونە											
unveil	  پەردەلەسەرلابردن	دەرخستن	نمایشکردن											
offer	  پێشکەشکردن	داشکاندن	نرخاندن											
header	  سەرپەڕە	دەسپێک	ناونیشان											
area	  پانتایی	رووبەر	ناوچە											
interval	  مەودا	دۆرینگ	ناوبەر											
bizarre	  زۆر سەیر	نامۆ	ناوازە											
furniture	  کەلوپەڵ	شتومەک	ناخماڵی											
disable	  لەکارخستن	نەتوانکردن	ناچالاککردن											
bind	  خستنە ئەستۆ	هەڵپێچان	ناچار کردن											
distance	  ناوبەر	دووری	مەودا											
size	  قەبارە	ئەندازە	مەزنی											
impossibility	  دەست نەدان	نەلوان	مەحاڵ											
itinerary	  پلانی گەشت	پلانی سەردان	مەبەست لە گەشت(سەردان)											
inn	  خانە	مەیخانە	میوانخانە											
mercy	  بەبەزەیی	دلۆڤان	میهرەبان											
folk	  خەڵک	خەڵکی	میللی											
kingdom	  شانشین	وڵاتی پاشایەتی	میرنشین											
arch	  تاق	بۆت	میچی کەوانەی											
stroke	  هێرش	دڵ وەستان	مێشک وەستان											
chronicle	  تۆماری رووداوەکان بەپێی ریزی مێژووی	کرۆنیک	مێژووچکه											
fly	  هەڵفڕین	فڕین	مێرووی باڵداری بچووک											
fashion	  باو	شێوە	مۆد											
engine	  بزوێنەر	مەکینه	موتۆر											
grandeur	  گه‌وره‌یی	به‌ناوبانگی	مه‌زنیی											
agree	  ڕازی بوون	قایل بوون	مل دان											
activity	  چالاکی	جووڵان	مژوولی											
coma	  کۆما	نووسن	متی											
span	  بست	ماوەیەکی کەم	ماوەی ڕووداوێک											
weary	  ماندوو	شەکەت	ماندوودەبێ											
denotation	  واتایی	پێناسەیی	مانای هەقیقی وشەێک											
home	  ماڵ	خانوو	ماڵەوە											
residence	  خانوو	ماڵ	مافی مانەوە											
wrapping	  پێچانەوە	کاغەزی پێچانەوە	مادەیەکی بەرگ کردن											
impress	  سرنجی خەڵک بەلایخۆدا ڕاکێشان	ڕووندەکاتەوە	لەمێشکی خۆدا چاپیدەکات											
nowadays	  لەم ڕۆژەدا	لەم کاتەدا	لەم ڕۆژانەی دوایی											
wearing	  لەبەرکردن	لەچاوکردن	لەدەست کردن											
fatigue	  ماندووکردن	هێز لێ بڕاندن	لە پەل و پۆ خستن											
sediment	  نیشتەمەنی	شێڵگر	لیته											
review	  پێداچوونەوە	چاوپێداگێڕانەوە	لێنێرینەڤە											
put	  دانان	تێخستن	لێنان											
degradation	  سوکایەتی	بێ ڕێزکردن	لێک هەڵوەشان (جیۆلۆجی)											
forest	  دارستان	جەنگەڵ	لێرەوار											
strike	  مانگرتن	دەست لە کارهەڵگرتن	لێدان											
forgive	  بەخشین	لێبووردن	لێخۆشبوون											
deprive	  بێبەشکردن	دابڕین	لێ سەندن											
decrease	  کەمبوونەوە	کەمکردنەوە	لێ دەرکردن											
speech	  وتار	قسە	لێ دووان											
stutter	  زمان گرتن	زمان گیران	لاڵی											
slant	  لاری	لار بوون	لار کردن											
village	  گوند	دێ	لادێ											
delivery	  ناردن	گەیاندن	گەیاندنی شتومەک											
store	  کۆگا	فرۆشگا	گەنجینە											
juvenile	  هەرزەکار	لاو	گەنج											
game	  یاری	وازی	گەمە											
list	  لیست	خشتە	گەڵاڵە											
bill	  پێشنیاری یاسا	پیلانی یاساێکی نوێ	گەڵاڵە											
mission	  ئەرک	پەیام	گەشتی تایبەت بۆ جێ به جێ کردنی فرمانێک											
wizard	  جادوو	جادووگەر	گەزەک (لە کۆمپیۆتەر دا بە ڕێنوێنی کورتی بەکارهێنانی بەرنامە دەڵێن)											
veggie	  سەوزە خۆر	گیاخۆر	گیایی											
spirit	  رۆح	نەفس	گیان											
commotion	  هەراوهوریا	ئاژاوە	گێرەشێوێنی											
arena	  گۆڕەپانی ململانێ	ئەرێنا	گۆڕەپانی وەرزشی											
evolution	  وەراری	گەشه	گۆڕانکاری کاووخۆیی											
become	  بوون	لێهاتن	گۆڕان											
indifference	  بێ‌دەربەست	کەمتەرخەم	گوێنەدەر											
hearing	  بیستن	ژنەفتن	گوێ لێبوون											
greenhouse	  شەتڵگەی شوشە	خانووی شوشەی	گوڵخانه											
say	  وتن	دەربڕین	گوتن											
transfer	  ناردن	ڕوانە کردن	گواستنەوە											
garner	  سایلۆ	عه‌مباری گه‌نم و جۆ و دانه‌وێڵه‌	گه‌نجینه‌											
pain	  ژان	ئێش	گل بۆ چاو											
negotiation	  دانوستان	ووتووێژ	گفتو گۆکردن											
common	  باو	هاوبەش	گشتی											
dispute	  کێشه	ناکۆکی	گرفت											
weight	  کێش	سەنگ	گرانایی											
fuck	  گان	گانکردن	گاندان											
coach	  ڕاهێنەر	پاس	گالیسکە											
boulder	  تاوێر	چەو	گاشە بەرد											
bruise	  کوتراویی	شین و مۆر بوونی پێست	کەووگ بوونی پێست											
benefit	  قازانج	سوود	کەڵک											
gain	  دەسکەوت	سوود	کەڵک											
crust	  پێستی زەی	توێکڵی زەوی	کەڵپی زەوی											
gap	  بۆشایی	کون	کەلێن											
device	  ئامراز	ئامێر	کەرەستە											
cream	  کرێم	رۆن	کەرە											
slice	  پارچە	قاژ	کەرت											
cutter	  بڕەر	قرتێنەر	کەتەر											
felony	  تاوانی گەوره	جەنایەت	کەتن											
couple	  جووت	دوو دانە	کەپڵ											
allegory	  چیرۆکی هێمایی	ئالێگۆری	کینایه											
total	  هەموو	سەرجەم	کۆئەنجام											
flock	  پۆل	رەوە	کۆمەڵێک											
commission	  لیژنە	لیژنەی لێکۆڵینەوە	کۆمیسۆن											
company	  بەشگە	هاوبەشگە	کۆمپانیا											
depart	  بەجێ دەهێڵێ	دەڕوا	کۆچ دەکا											
departure	  ڕۆیشتن	دەرچوون	کۆچ											
summit	  لوتکە	دوند	کۆبوونەوە											
amount	  بڕ	سەرجەم	کۆ											
terror	  ترس	تۆقین	کوشتن و بڕین											
corner	  سووچ	گۆشە	کوژبن											
halt	  وەستان	ڕاوەستان	کوژاندنەوە											
sabot	  پێسۆل	قاپقاپە	کڵاش											
tissue	  ئەتەم :شانه	دەسڕ	کلێنس											
tale	  چیڕۆک	ئەفسانە	کلک											
act	  هەڵس وکەوت	کردار	کردەوە											
galaxy	  گەلەستێره	گەلاکس	کاکێشان											
angle	  گۆ‌شه	کونج	کاش											
dawn	  شەبەق	بەرەبەیان	کازیوە											
influence	  کارتێکردن	کارلێکردن	کاریگەری											
work	  کار	ئیش	کاروکاسبی											
action	  کردار	کردەوە	کار											
childhood	  منداڵیەتی	تەمەنی منداڵی	کاتی منداڵی											
opportunity	  هەل	بوار	کاتێکی گونجاوە											
watch	  سەیرکردن	تەماشاکردن	کاتژمێری دەستی											
thorax	  سینگ	کەڵەی سینگ	قەفەسەی سینگ											
hire	  بە کرێگرتن	بژاره	قەرەبوو											
respect	  رێز	هێژایی	‌‌قەدر											
slight	  کەم	بچووک	قیچ											
hair	  موو	پرچ	قژ											
jurist	  یاسازان	مافزان	قانوون زان											
fuss	  هەرا	بەزم	قاڵەقاڵ											
earn	  پەیداکردن	دەستکەوتن	قازانج کردن											
foot	  لا‌	پێ	قاچ											
pot	  مەنجەڵ	شتێکی سەردار	قاپێکی لە قوڕ یان چینی دروستکراو											
utensil	  ئامراز	ئامێر	قاپ وقاچاغ											
festival	  جەژن	ئاهەنگ	ڤستیڤاڵ											
season	  وەرز	کەژه	فەسڵ											
piglet	  بەچکە بەراز	بەرازی بچوک	فەرخە											
cheat	  قۆپیکردن	گزیکردن	فێڵکردن											
school	  خوێندنگا	‌قوتابخانه	فێرگه											
constraint	  سنوورداری	مەرج	فشار											
sickness	  نەخۆشی	هێلنج دان	فرتک											
exhaust	  ئەکزۆز ئوتۆمۆبیل	ماندوو	شەکەت											
fissure	  قەڵش	درز	شەق											
brawl	  شەڕەهەرا	دەمەبۆڵە	شەڕەقسە											
valley	  دۆڵ	گەلی	شیوو											
bracket	  ئەستوونی راگڕ	کەوانە	شیشی ڕەفە											
confection	  شیرینی	حەڵوا	شیرینیمەنی											
sweet	  شیرین	دڵگیر	شیرینی											
wake	  هەڵدەستێنێت	دەجولێنێت	شوێنەواری کەشتی											
wedding	  ئاهەنگی هاوسەرگیری	ژن هێنان	شوو کردن											
analyse	  شیکردنەوە	لێکدانەوە	شرۆڤەدەکا											
fastening	  قایمکردن	توندکردن	شتی قایم که‌ر											
proficiency	  کارامەیی	لێهاتوویی	شارەزایی											
mastery	  لێزانی	لێهاتووی	شارەزایی											
timber	  دارەڕا	راچه	شاتیر											
lookup	  بۆگەڕان	تەماشاکردن	سەیرکردن											
document	  بەڵگه	شانک	سەنەد											
purchase	  کڕین	کڕیان	سەندن											
element	  توخم	مێتاڵه بنچینەییەکان	سەرەتاییەکان											
first	  یەکەم	مەڵڵا	سەرەتایی											
supply	  سامان	ژیاندن	سەرچاوه											
authorize	  دەسەڵات پێدان	ڕێگەپێدان	سەرپشکی کردن											
adventure	  سەرکەشی	سەربورد	سەربووری											
complete	  تەواو	هەموو	سەراپا											
pipe	  لوولە	بۆری	سەبیل											
crawl	  هێواش جوڵاندن	لەسەرخشاندن	سینگەمەلە											
symbol	  هێما	نیشانه	سیمبۆڵ											
scene	  دیمەن	شانۆ	سێن											
cube	  شەشپاڵو	خشتەک	سێ جا											
invite	  بانگهێشت کردن	میوان کردن	سۆزدان											
abase	  بە چاوی سووک سەیری دەکات	بێنرخ دەکات	سووکایەتی پێدەکات											
wander	  پیاسەدەکا	پیاسە	سوڕانەوە											
